panel,value
A_Tresponse_Quad2Diff,0.18389685635528516
A_Tresponse_Quad2Diff,0.18416327617393402
A_Tresponse_Quad2Diff,0.18422988112859623
A_Tresponse_Quad2Diff,0.18430758690903548
A_Tresponse_Quad2Diff,0.18447409929569103
A_Tresponse_Quad2Diff,0.18462951085656953
A_Tresponse_Quad2Diff,0.184773821591671
A_Tresponse_Quad2Diff,0.18909204281893793
B_Tresponse_Diff2Quad,0.5345049873761134
B_Tresponse_Diff2Quad,0.5345161996031811
B_Tresponse_Diff2Quad,0.534562067804822
B_Tresponse_Diff2Quad,0.5346741900754994
B_Tresponse_Diff2Quad,0.5346986531163745
B_Tresponse_Diff2Quad,0.534746559904755
B_Tresponse_Diff2Quad,0.5349453221118651
B_Tresponse_Diff2Quad,0.5350441935687352
B_Tresponse_Diff2Quad,0.5350951582372251
B_Tresponse_Diff2Quad,0.5352032033344234
B_Tresponse_Diff2Quad,0.5352276663752985
C_Tswitch_Quad2Diff,2.698316730462899
C_Tswitch_Quad2Diff,2.768056175811579
C_Tswitch_Quad2Diff,2.7780762110628263
C_Tswitch_Quad2Diff,2.79811628156532
C_Tswitch_Quad2Diff,2.847815656411506
C_Tswitch_Quad2Diff,2.978076114677718
C_Tswitch_Quad2Diff,3.0177554542726566
C_Tswitch_Quad2Diff,3.0277754895239033
C_Tswitch_Quad2Diff,3.057835595277645
C_Tswitch_Quad2Diff,3.067855630528892
C_Tswitch_Quad2Diff,3.077875665780139
C_Tswitch_Quad2Diff,3.1179558067851274
D_Tswitch_Diff2Quad,1.3981884057971012
D_Tswitch_Diff2Quad,1.4181159420289853
D_Tswitch_Diff2Quad,1.4481884057971013
D_Tswitch_Diff2Quad,1.4782608695652173
D_Tswitch_Diff2Quad,1.5181159420289854
D_Tswitch_Diff2Quad,1.5992753623188405
D_Tswitch_Diff2Quad,1.6282608695652174
D_Tswitch_Diff2Quad,1.6981884057971015
D_Tswitch_Diff2Quad,1.7481884057971016
D_Tswitch_Diff2Quad,1.7681159420289858
